,beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price
4838,1.0,,515.0,sqft,,,98116.0,309000.0
5136,1.0,,515.0,sqft,,,98116.0,309000.0
5280,1.0,,515.0,sqft,,,98116.0,309000.0
5115,1.0,1.0,760.0,sqft,,,98119.0,309000.0
5394,1.0,1.0,600.0,sqft,,,98122.0,310000.0
5301,1.0,1.0,600.0,sqft,,,98122.0,310000.0
5542,1.0,,573.0,sqft,,,98121.0,310000.0
5666,1.0,1.0,600.0,sqft,,,98122.0,310000.0
5381,1.0,,573.0,sqft,,,98121.0,310000.0
5644,1.0,,573.0,sqft,,,98121.0,310000.0
5315,1.0,,573.0,sqft,,,98121.0,310000.0
5733,1.0,1.0,600.0,sqft,,,98122.0,310000.0
5313,1.0,1.0,600.0,sqft,,,98122.0,310000.0
5714,1.0,1.0,600.0,sqft,,,98122.0,310000.0
5881,1.0,1.0,701.0,sqft,,,98115.0,315000.0
5952,1.0,1.0,701.0,sqft,,,98115.0,315000.0
6037,1.0,1.0,723.0,sqft,,,98133.0,315000.0
6028,1.0,1.0,615.0,sqft,,,98199.0,315000.0
6052,1.0,1.0,513.0,sqft,,,98121.0,315000.0
5891,1.0,1.0,615.0,sqft,,,98199.0,315000.0
5800,1.0,1.0,513.0,sqft,,,98121.0,315000.0
734,1.0,1.0,723.0,sqft,,,98133.0,315000.0
5790,,1.0,513.0,sqft,0.66,acre,98121.0,315000.0
6143,1.0,1.0,723.0,sqft,,,98133.0,315000.0
6433,2.0,2.0,,sqft,,,98125.0,325000.0
6243,2.0,2.0,,sqft,,,98125.0,325000.0
6437,2.0,,1443.0,sqft,,,,325000.0
6268,2.0,,1443.0,sqft,,,,325000.0
6337,1.0,,508.0,sqft,,,98109.0,325000.0
6253,,1.0,522.0,sqft,5000.0,sqft,98107.0,325000.0
6539,1.0,,,sqft,,,98115.0,325000.0
6334,1.0,1.0,707.0,sqft,4.66,acre,98133.0,325000.0
6581,,1.0,522.0,sqft,5000.0,sqft,98107.0,325000.0
6532,1.0,1.0,707.0,sqft,4.66,acre,98133.0,325000.0
7137,1.0,1.0,568.0,sqft,,,98104.0,330000.0
6825,1.0,1.0,568.0,sqft,,,98104.0,330000.0
6815,,2.0,1245.0,sqft,,,98168.0,330000.0
6726,,,550.0,sqft,,,98122.0,330000.0
6974,1.0,1.0,568.0,sqft,,,98104.0,330000.0
6791,1.0,1.0,568.0,sqft,,,98104.0,330000.0
6732,,,1245.0,sqft,4.11,acre,98168.0,330000.0
6847,,2.0,1245.0,sqft,,,98168.0,330000.0
6695,,2.0,1245.0,sqft,,,98168.0,330000.0
6987,,2.0,1245.0,sqft,,,98168.0,330000.0
7174,1.0,1.0,,sqft,0.35,acre,98104.0,335000.0
7170,1.0,1.0,,sqft,0.35,acre,98104.0,335000.0
7609,1.0,1.0,,sqft,0.35,acre,98104.0,335000.0
7392,1.0,1.0,627.0,sqft,0.34,acre,98101.0,335000.0
7248,1.0,1.0,540.0,sqft,0.35,acre,98104.0,335000.0
7365,1.0,1.0,474.0,sqft,,,98101.0,335000.0
7554,1.0,1.0,540.0,sqft,0.35,acre,98104.0,335000.0
7525,1.0,1.0,540.0,sqft,0.35,acre,98104.0,335000.0
7202,1.0,1.0,,sqft,0.35,acre,98104.0,335000.0
7306,1.0,1.0,553.0,sqft,,,98103.0,335000.0
7952,1.0,1.0,640.0,sqft,0.35,acre,98104.0,345000.0
7687,1.0,1.0,570.0,sqft,,,98116.0,345000.0
7615,1.0,1.0,570.0,sqft,,,98116.0,345000.0
7686,1.0,1.0,640.0,sqft,0.35,acre,98104.0,345000.0
7970,1.0,1.0,640.0,sqft,0.35,acre,98104.0,345000.0
7746,1.0,1.0,640.0,sqft,0.35,acre,98104.0,345000.0
7662,1.0,1.0,514.0,sqft,,,98122.0,345000.0
7908,1.0,1.0,640.0,sqft,0.35,acre,98104.0,345000.0
7717,2.0,2.0,1040.0,sqft,,,98118.0,345000.0
7878,1.0,,434.0,sqft,6600.0,sqft,98102.0,345000.0
8534,1.0,,641.0,sqft,,,98122.0,349000.0
8360,1.0,,641.0,sqft,,,98122.0,349000.0
8159,1.0,1.0,650.0,sqft,,,98116.0,349000.0
8120,1.0,,641.0,sqft,,,98122.0,349000.0
8112,1.0,1.0,650.0,sqft,,,98116.0,349000.0
8193,1.0,1.0,650.0,sqft,,,98116.0,349000.0
8154,1.0,,641.0,sqft,,,98122.0,349000.0
8098,1.0,,641.0,sqft,,,98122.0,349000.0
8152,1.0,,641.0,sqft,,,98122.0,349000.0
8399,1.0,1.0,650.0,sqft,,,98116.0,349000.0
8645,1.0,1.0,545.0,sqft,,,98122.0,350000.0
8941,,1.0,644.0,sqft,,,98122.0,350000.0
8890,,1.0,644.0,sqft,,,98122.0,350000.0
8675,1.0,1.0,545.0,sqft,,,98122.0,350000.0
8694,1.0,1.0,545.0,sqft,,,98122.0,350000.0
8888,,1.0,644.0,sqft,,,98122.0,350000.0
8720,1.0,1.0,545.0,sqft,,,98122.0,350000.0
8853,,,703.0,sqft,0.51,acre,98126.0,350000.0
8754,,,703.0,sqft,0.51,acre,98126.0,350000.0
8768,2.0,1.0,1040.0,sqft,6103.0,sqft,98133.0,350000.0
9204,1.0,1.0,742.0,sqft,,,98126.0,354000.0
9448,1.0,1.0,742.0,sqft,,,98126.0,354000.0
9135,1.0,1.0,519.0,sqft,,,98105.0,354000.0
9097,1.0,1.0,519.0,sqft,,,98105.0,354000.0
9040,1.0,1.0,519.0,sqft,,,98105.0,354000.0
9014,1.0,1.0,742.0,sqft,,,98126.0,354000.0
9011,1.0,1.0,742.0,sqft,,,98126.0,354000.0
9366,1.0,1.0,519.0,sqft,,,98105.0,354000.0
9228,1.0,1.0,519.0,sqft,,,98105.0,354000.0
9387,1.0,1.0,519.0,sqft,,,98105.0,354000.0
9825,2.0,1.0,875.0,sqft,,,98115.0,355000.0
9737,2.0,1.0,875.0,sqft,,,98115.0,355000.0
9555,2.0,1.0,875.0,sqft,,,98115.0,355000.0
9490,1.0,1.0,680.0,sqft,,,98104.0,355000.0
9617,1.0,1.0,680.0,sqft,,,98104.0,355000.0
9561,1.0,1.0,680.0,sqft,,,98104.0,355000.0
9761,2.0,1.0,875.0,sqft,,,98115.0,355000.0
9534,1.0,1.0,680.0,sqft,,,98104.0,355000.0
9487,1.0,1.0,680.0,sqft,,,98104.0,355000.0
9739,1.0,1.0,680.0,sqft,,,98104.0,355000.0
10099,,1.0,773.0,sqft,0.25,acre,98133.0,360000.0
10298,1.0,1.0,582.0,sqft,0.5,acre,98109.0,360000.0
10087,1.0,1.0,582.0,sqft,0.5,acre,98109.0,360000.0
10223,1.0,1.0,582.0,sqft,0.5,acre,98109.0,360000.0
10383,1.0,1.0,582.0,sqft,0.5,acre,98109.0,360000.0
10365,1.0,1.0,597.0,sqft,,,98109.0,360000.0
10116,1.0,1.0,594.0,sqft,,,,360000.0
10349,1.0,1.0,582.0,sqft,0.5,acre,98109.0,360000.0
10109,1.0,1.0,594.0,sqft,,,,360000.0
10218,1.0,1.0,597.0,sqft,,,98109.0,360000.0
10457,1.0,1.0,720.0,sqft,,,98126.0,365000.0
10735,1.0,1.0,704.0,sqft,,,98119.0,365000.0
10678,1.0,1.0,720.0,sqft,,,98126.0,365000.0
10774,1.0,1.0,704.0,sqft,,,98119.0,365000.0
10812,1.0,1.0,704.0,sqft,,,98119.0,365000.0
10549,1.0,1.0,704.0,sqft,,,98119.0,365000.0
10750,1.0,1.0,720.0,sqft,,,98126.0,365000.0
10435,1.0,1.0,720.0,sqft,,,98126.0,365000.0
10502,1.0,1.0,720.0,sqft,,,98126.0,365000.0
10708,1.0,1.0,704.0,sqft,,,98119.0,365000.0
11003,1.0,1.0,900.0,sqft,,,98105.0,369950.0
11104,1.0,1.0,614.0,sqft,0.37,acre,98109.0,369950.0
11181,1.0,1.0,900.0,sqft,,,98105.0,369950.0
11089,1.0,1.0,614.0,sqft,0.37,acre,98109.0,369950.0
11060,1.0,1.0,614.0,sqft,0.37,acre,98109.0,369950.0
11318,1.0,1.0,614.0,sqft,0.37,acre,98109.0,369950.0
11048,1.0,1.0,900.0,sqft,,,98105.0,369950.0
11334,1.0,1.0,614.0,sqft,0.37,acre,98109.0,369950.0
11162,1.0,1.0,900.0,sqft,,,98105.0,369950.0
10996,1.0,1.0,900.0,sqft,,,98105.0,369950.0
11806,,1.0,,sqft,,,98103.0,370000.0
11455,1.0,1.0,843.0,sqft,,,98125.0,370000.0
11423,1.0,1.0,843.0,sqft,,,98125.0,370000.0
11670,,1.0,557.0,sqft,,,98102.0,370000.0
11434,,1.0,,sqft,,,98103.0,370000.0
11560,1.0,1.0,843.0,sqft,,,98125.0,370000.0
11391,1.0,1.0,843.0,sqft,,,98125.0,370000.0
11799,,1.0,,sqft,,,98103.0,370000.0
11417,1.0,1.0,843.0,sqft,,,98125.0,370000.0
11666,1.0,1.0,843.0,sqft,,,98125.0,370000.0
12082,1.0,1.0,750.0,sqft,,,,375000.0
11856,1.0,1.0,589.0,sqft,,,,375000.0
11949,2.0,2.0,1199.0,sqft,1.06,acre,98117.0,375000.0
12049,1.0,1.0,589.0,sqft,,,,375000.0
11818,2.0,2.0,1199.0,sqft,1.06,acre,98117.0,375000.0
11850,1.0,1.0,750.0,sqft,,,,375000.0
12039,2.0,2.0,1199.0,sqft,1.06,acre,98117.0,375000.0
12077,1.0,,525.0,sqft,,,98103.0,375000.0
12141,1.0,1.0,589.0,sqft,,,,375000.0
11848,2.0,2.0,1199.0,sqft,1.06,acre,98117.0,375000.0
12522,,1.0,807.0,sqft,,,98122.0,380000.0
12415,2.0,2.0,954.0,sqft,0.33,acre,98133.0,380000.0
12548,,,635.0,sqft,,,98121.0,380000.0
12572,,1.0,807.0,sqft,,,98122.0,380000.0
12423,2.0,2.0,954.0,sqft,0.33,acre,98133.0,380000.0
12376,,,635.0,sqft,,,98121.0,380000.0
12424,2.0,2.0,954.0,sqft,0.33,acre,98133.0,380000.0
12398,,,635.0,sqft,,,98121.0,380000.0
12671,,,635.0,sqft,,,98121.0,380000.0
12289,,1.0,807.0,sqft,,,98122.0,380000.0
13136,1.0,1.0,,sqft,,,98121.0,385000.0
12809,1.0,,,sqft,,,98105.0,385000.0
12978,2.0,2.0,839.0,sqft,,,98133.0,385000.0
12972,2.0,2.0,839.0,sqft,,,98133.0,385000.0
12955,1.0,1.0,945.0,sqft,,,,385000.0
12925,,,500.0,sqft,4000.0,sqft,98168.0,385000.0
13153,2.0,2.0,839.0,sqft,0.53,acre,98125.0,385000.0
12932,1.0,1.0,,sqft,,,98121.0,385000.0
12793,1.0,1.0,,sqft,,,98121.0,385000.0
12749,2.0,2.0,839.0,sqft,,,98133.0,385000.0
13285,1.0,1.0,515.0,sqft,1.31,acre,98109.0,387000.0
13391,1.0,1.0,622.0,sqft,,,98103.0,387000.0
13454,1.0,1.0,622.0,sqft,,,98103.0,387000.0
13431,1.0,1.0,515.0,sqft,1.31,acre,98109.0,387000.0
13445,1.0,1.0,622.0,sqft,,,98103.0,387000.0
13536,1.0,1.0,515.0,sqft,1.31,acre,98109.0,387000.0
13543,1.0,1.0,515.0,sqft,1.31,acre,98109.0,387000.0
13406,1.0,1.0,515.0,sqft,1.31,acre,98109.0,387000.0
13504,1.0,1.0,622.0,sqft,,,98103.0,387000.0
13497,1.0,1.0,515.0,sqft,1.31,acre,98109.0,387000.0
14029,1.0,1.0,543.0,sqft,,,98109.0,390000.0
14053,1.0,,573.0,sqft,,,98102.0,390000.0
14010,1.0,1.0,699.0,sqft,,,98199.0,390000.0
14038,1.0,1.0,699.0,sqft,,,98199.0,390000.0
13858,1.0,1.0,699.0,sqft,,,98199.0,390000.0
14076,1.0,1.0,543.0,sqft,,,98109.0,390000.0
13807,2.0,2.0,1440.0,sqft,8100.0,sqft,98168.0,390000.0
14119,1.0,1.0,699.0,sqft,,,98199.0,390000.0
13946,1.0,1.0,543.0,sqft,,,98109.0,390000.0
13972,1.0,1.0,699.0,sqft,,,98199.0,390000.0
14400,,1.0,580.0,sqft,4657.0,sqft,98102.0,395000.0
14479,1.0,,648.0,sqft,,,98121.0,395000.0
14242,1.0,,648.0,sqft,,,98121.0,395000.0
14284,2.0,2.0,950.0,sqft,0.68,acre,98106.0,395000.0
14193,,1.0,580.0,sqft,4657.0,sqft,98102.0,395000.0
14482,2.0,1.0,780.0,sqft,6860.0,sqft,,395000.0
14240,2.0,2.0,950.0,sqft,0.68,acre,98106.0,395000.0
14518,,1.0,580.0,sqft,4657.0,sqft,98102.0,395000.0
14316,1.0,,648.0,sqft,,,98121.0,395000.0
14549,,1.0,580.0,sqft,4657.0,sqft,98102.0,395000.0
14625,1.0,1.0,620.0,sqft,,,98119.0,399000.0
14656,1.0,1.0,620.0,sqft,,,98119.0,399000.0
14780,1.0,1.0,527.0,sqft,,,,399000.0
14760,1.0,1.0,527.0,sqft,,,,399000.0
14859,1.0,1.0,527.0,sqft,,,,399000.0
14991,1.0,1.0,620.0,sqft,,,98119.0,399000.0
15042,1.0,1.0,620.0,sqft,,,98119.0,399000.0
14837,1.0,1.0,527.0,sqft,,,,399000.0
15032,1.0,1.0,620.0,sqft,,,98119.0,399000.0
14863,1.0,1.0,527.0,sqft,,,,399000.0
15366,1.0,1.0,557.0,sqft,0.88,acre,,399950.0
15122,3.0,1.0,,sqft,3750.0,sqft,98106.0,399950.0
15457,3.0,1.0,,sqft,3750.0,sqft,98106.0,399950.0
1248,2.0,1.0,968.0,sqft,,,98115.0,399950.0
15519,1.0,1.0,557.0,sqft,0.88,acre,,399950.0
15076,1.0,1.0,557.0,sqft,0.88,acre,,399950.0
15451,2.0,1.0,968.0,sqft,,,98115.0,399950.0
15439,3.0,1.0,,sqft,3750.0,sqft,98106.0,399950.0
15364,1.0,1.0,557.0,sqft,0.88,acre,,399950.0
15525,2.0,1.0,968.0,sqft,,,98115.0,399950.0
15580,,1.0,,sqft,0.41,acre,98119.0,400000.0
15873,2.0,1.0,1460.0,sqft,5700.0,sqft,98115.0,400000.0
15579,1.0,1.0,,sqft,,,98109.0,400000.0
15611,2.0,1.5,,sqft,,,98144.0,400000.0
15915,2.0,1.0,1460.0,sqft,5700.0,sqft,98115.0,400000.0
15857,1.0,1.0,,sqft,,,98109.0,400000.0
15957,,1.0,603.0,sqft,,,98133.0,400000.0
15798,3.0,1.0,1090.0,sqft,0.31,acre,98178.0,400000.0
15967,,1.0,,sqft,0.41,acre,98119.0,400000.0
15732,,1.0,603.0,sqft,,,98133.0,400000.0
16436,1.0,,700.0,sqft,,,98119.0,405000.0
16202,1.0,,700.0,sqft,,,98119.0,405000.0
16094,2.0,3.5,990.0,sqft,0.86,acre,98178.0,405000.0
16041,2.0,3.5,990.0,sqft,0.86,acre,98178.0,405000.0
16143,1.0,1.0,700.0,sqft,0.41,acre,98119.0,405000.0
16228,1.0,1.0,594.0,sqft,0.39,acre,98105.0,405000.0
16245,2.0,3.5,990.0,sqft,0.86,acre,98178.0,405000.0
16428,1.0,1.0,700.0,sqft,0.41,acre,98119.0,405000.0
16092,1.0,1.0,700.0,sqft,0.41,acre,98119.0,405000.0
16453,1.0,1.0,861.0,sqft,9600.0,sqft,98126.0,405000.0
16890,2.0,,868.0,sqft,,,98144.0,415000.0
16633,2.0,2.0,877.0,sqft,,,98115.0,415000.0
16774,2.0,,868.0,sqft,,,98144.0,415000.0
16747,2.0,,877.0,sqft,2.63,acre,98115.0,415000.0
16581,2.0,,868.0,sqft,,,98144.0,415000.0
16520,2.0,,868.0,sqft,,,98144.0,415000.0
16547,2.0,,868.0,sqft,,,98144.0,415000.0
16804,2.0,,868.0,sqft,,,98144.0,415000.0
16626,2.0,,877.0,sqft,2.63,acre,98115.0,415000.0
16590,2.0,2.0,877.0,sqft,,,98115.0,415000.0
17144,2.0,,,sqft,,,98115.0,420000.0
17289,2.0,,,sqft,,,98115.0,420000.0
17245,1.0,,750.0,sqft,,,98116.0,420000.0
17101,2.0,2.0,909.0,sqft,,,,420000.0
17334,2.0,2.0,909.0,sqft,,,,420000.0
17278,2.0,,,sqft,,,98115.0,420000.0
17176,1.0,,750.0,sqft,,,98116.0,420000.0
16949,2.0,2.0,909.0,sqft,,,,420000.0
17298,1.0,,750.0,sqft,,,98116.0,420000.0
17325,2.0,,,sqft,,,98115.0,420000.0
17708,,2.0,1213.0,sqft,,,98117.0,422000.0
17691,,2.0,1213.0,sqft,,,98117.0,422000.0
17650,,2.0,1213.0,sqft,,,98117.0,422000.0
17810,,2.0,924.0,sqft,0.26,acre,98126.0,422000.0
17482,,2.0,924.0,sqft,0.26,acre,98126.0,422000.0
17520,,2.0,1213.0,sqft,,,98117.0,422000.0
17594,,2.0,1213.0,sqft,,,98117.0,422000.0
17757,,2.0,924.0,sqft,0.26,acre,98126.0,422000.0
17692,,2.0,924.0,sqft,0.26,acre,98126.0,422000.0
17717,,2.0,1213.0,sqft,,,98117.0,422000.0
18334,3.0,1.0,860.0,sqft,8054.0,sqft,98178.0,425000.0
18158,1.0,1.0,773.0,sqft,,,98102.0,425000.0
18284,2.0,1.5,938.0,sqft,,,98106.0,425000.0
17908,1.0,1.0,804.0,sqft,,,98116.0,425000.0
17873,1.0,1.0,717.0,sqft,0.27,acre,98109.0,425000.0
18219,1.0,1.0,804.0,sqft,,,98116.0,425000.0
18174,2.0,1.5,938.0,sqft,,,98106.0,425000.0
18236,3.0,1.0,860.0,sqft,8054.0,sqft,98178.0,425000.0
18245,1.0,1.0,804.0,sqft,,,98116.0,425000.0
18166,1.0,1.0,717.0,sqft,0.27,acre,98109.0,425000.0
18478,,2.0,1073.0,sqft,,,98133.0,429900.0
18705,2.0,3.0,,sqft,2.71,acre,98133.0,429900.0
18370,2.0,3.0,,sqft,2.71,acre,98133.0,429900.0
18442,,2.0,1073.0,sqft,,,98133.0,429900.0
18624,2.0,3.0,,sqft,2.71,acre,98133.0,429900.0
18531,,2.0,1073.0,sqft,,,98133.0,429900.0
18623,,2.0,1073.0,sqft,,,98133.0,429900.0
18424,2.0,3.0,,sqft,2.71,acre,98133.0,429900.0
18726,2.0,3.0,,sqft,2.71,acre,98133.0,429900.0
18625,2.0,3.0,,sqft,2.71,acre,98133.0,429900.0
631,1.0,1.0,852.0,sqft,,,98107.0,430000.0
18967,2.0,2.0,724.0,sqft,5400.0,sqft,98103.0,430000.0
18941,1.0,1.0,852.0,sqft,,,98107.0,430000.0
18974,1.0,1.0,852.0,sqft,,,98107.0,430000.0
19102,2.0,,871.0,sqft,0.29,acre,98119.0,430000.0
18948,2.0,1.0,648.0,sqft,4997.0,sqft,98107.0,430000.0
18920,1.0,1.0,852.0,sqft,,,98107.0,430000.0
19253,2.0,2.0,1065.0,sqft,,,98126.0,430000.0
18897,2.0,2.0,1065.0,sqft,,,98126.0,430000.0
18943,2.0,,871.0,sqft,0.29,acre,98119.0,430000.0
19461,1.0,,569.0,sqft,,,98104.0,435000.0
19431,,1.0,,sqft,1549.0,sqft,98106.0,435000.0
19609,,1.0,,sqft,1549.0,sqft,98106.0,435000.0
19340,,1.0,,sqft,1549.0,sqft,98106.0,435000.0
19506,3.0,,1530.0,sqft,0.31,acre,98146.0,435000.0
19290,3.0,,1530.0,sqft,0.31,acre,98146.0,435000.0
19722,3.0,,1530.0,sqft,0.31,acre,98146.0,435000.0
19415,2.0,,810.0,sqft,6400.0,sqft,98146.0,435000.0
19330,1.0,,569.0,sqft,,,98104.0,435000.0
19286,2.0,2.0,932.0,sqft,,,98103.0,435000.0
20102,4.0,1.0,1420.0,sqft,5240.0,sqft,,445000.0
19949,2.0,2.0,1415.0,sqft,,,98125.0,445000.0
20159,1.0,,596.0,sqft,,,98109.0,445000.0
20135,1.0,1.0,727.0,sqft,5250.0,sqft,98103.0,445000.0
20041,1.0,1.0,727.0,sqft,5250.0,sqft,98103.0,445000.0
19940,4.0,1.0,1420.0,sqft,5240.0,sqft,,445000.0
20017,4.0,1.0,1420.0,sqft,5240.0,sqft,,445000.0
19854,4.0,1.0,1420.0,sqft,5240.0,sqft,,445000.0
20061,2.0,2.0,1415.0,sqft,,,98125.0,445000.0
20118,1.0,1.0,727.0,sqft,5250.0,sqft,98103.0,445000.0
20503,,,1415.0,sqft,6.4,acre,98125.0,449000.0
20425,1.0,,696.0,sqft,,,98122.0,449000.0
20385,,,1415.0,sqft,6.4,acre,98125.0,449000.0
20216,1.0,,696.0,sqft,,,98122.0,449000.0
20365,1.0,,696.0,sqft,,,98122.0,449000.0
20492,1.0,,696.0,sqft,,,98122.0,449000.0
20466,1.0,,696.0,sqft,,,98122.0,449000.0
20418,1.0,,696.0,sqft,,,98122.0,449000.0
20330,1.0,,696.0,sqft,,,98122.0,449000.0
20307,,,1415.0,sqft,6.4,acre,98125.0,449000.0
20843,1.0,1.0,800.0,sqft,,,98122.0,450000.0
20991,2.0,2.0,1080.0,sqft,,,98144.0,450000.0
20806,1.0,1.0,636.0,sqft,,,98102.0,450000.0
20837,1.0,1.0,800.0,sqft,,,98122.0,450000.0
20703,2.0,2.0,1080.0,sqft,,,98144.0,450000.0
21051,2.0,1.0,830.0,sqft,1980.0,sqft,98117.0,450000.0
21115,3.0,3.0,1940.0,sqft,5000.0,sqft,98199.0,450000.0
20861,2.0,2.0,981.0,sqft,,,98133.0,450000.0
21002,2.0,2.0,981.0,sqft,,,98133.0,450000.0
21098,2.0,2.0,1188.0,sqft,0.43,acre,98119.0,450000.0
21381,2.0,,990.0,sqft,4800.0,sqft,98108.0,455000.0
21366,2.0,,990.0,sqft,4800.0,sqft,98108.0,455000.0
21198,2.0,,990.0,sqft,4800.0,sqft,98108.0,455000.0
21417,2.0,,990.0,sqft,4800.0,sqft,98108.0,455000.0
21197,1.0,,854.0,sqft,,,98107.0,455000.0
21427,2.0,,990.0,sqft,4800.0,sqft,98108.0,455000.0
21588,2.0,,990.0,sqft,4800.0,sqft,98108.0,455000.0
21291,1.0,,854.0,sqft,,,98107.0,455000.0
21480,1.0,,854.0,sqft,,,98107.0,455000.0
21151,2.0,,990.0,sqft,4800.0,sqft,98108.0,455000.0
22030,,1.0,,sqft,0.24,acre,98146.0,459000.0
22037,,1.0,,sqft,0.24,acre,98146.0,459000.0
21696,,,718.0,sqft,,,98119.0,459000.0
21686,,1.0,,sqft,0.24,acre,98146.0,459000.0
21888,,1.0,,sqft,0.24,acre,98146.0,459000.0
21917,,1.0,,sqft,0.24,acre,98146.0,459000.0
21824,,1.0,,sqft,0.24,acre,98146.0,459000.0
21869,,1.0,,sqft,0.24,acre,98146.0,459000.0
21612,,,718.0,sqft,,,98119.0,459000.0
21993,,1.0,,sqft,0.24,acre,98146.0,459000.0
22090,1.0,1.0,670.0,sqft,6000.0,sqft,98133.0,460000.0
22415,1.0,1.0,,sqft,,,,460000.0
22314,1.0,1.0,,sqft,,,,460000.0
22294,4.0,2.0,,sqft,4000.0,sqft,98118.0,460000.0
22309,2.0,1.0,,sqft,,,98116.0,460000.0
22089,1.0,1.0,670.0,sqft,6000.0,sqft,98133.0,460000.0
22197,4.0,2.0,,sqft,4000.0,sqft,98118.0,460000.0
22170,4.0,2.0,,sqft,4000.0,sqft,98118.0,460000.0
22523,1.0,1.0,,sqft,,,,460000.0
22412,1.0,1.0,,sqft,,,,460000.0
22532,3.0,1.0,,sqft,4120.0,sqft,98106.0,468000.0
22874,1.0,1.0,650.0,sqft,,,98121.0,468000.0
22751,1.0,1.0,650.0,sqft,,,98121.0,468000.0
22845,2.0,2.0,,sqft,2.02,acre,98115.0,468000.0
22817,3.0,1.0,,sqft,4120.0,sqft,98106.0,468000.0
